ident,gene4550,bacplus,typinact,ageinact,ageact,age_enq
404,1,0,Retour foyer - inactivite,27,0,59
737,1,1,Retour foyer - inactivite,21,0,53
1855,1,0,Autres,25,0,57
1787,0,0,Retour foyer - inactivite,32,0,64
1108,1,0,Retour foyer - inactivite,20,0,52
1385,1,0,Retour foyer - inactivite,20,0,52
2284,1,1,Retour foyer - inactivite,28,0,60
581,1,1,Retour foyer - inactivite,27,0,60
2015,1,0,Retour foyer - inactivite,20,0,53
2738,1,0,Retour foyer - inactivite,27,0,60
2599,1,0,Retour foyer - inactivite,23,0,56
2223,0,0,Retour foyer - inactivite,31,0,64
2691,1,0,Retour foyer - inactivite,24,0,57
